,,,,,,,,,,,,,,,
Übergruppe,Parameter ,Erklärung ,Einheit,Default,Minimum Value,Maximum Value,Quelle min ,Quelle max,NameRLPJ,,Übergruppe,Parameter ,Erklärung ,Minimum Value,Maximum Value
Common Paramaters,,,,,,,,,,,Driver ,,,,
Photosynthesis,lambda_max,Non-water-stressed ratio of intercellular to ambient CO2 pp,einheitenlos?,"0,8",0.6,0.8,,(Pappas et al. 2013),run_lamdba_max,,Soil,pH ,ph-Abweichung ( relative Abweichung von vorgegebenem Wert) ,-1,1
Water,emax,Maximum evapotranspiration rate ,(mm/day),5,2,6,(Köstner 2000),,run_emax,,Radiation ,,Abweichung des Wertes von RCP 4.5,RCP 2.5,RCP 8.5
Establishment,reprfrac,Fraction of NPP allocated to reproduction,einheitenlos,"0,1","0,05","0,3",,,run_reprfrac,,Temperature,,Abweichung des Wertes von RCP 4.5,RCP 2.6,RCP 8.5
Nitrogen fixation,nfix_a,First term in N fixation eqn,einheitenlos?,"0,102","0,102","0,367",,,run_nfix_a,,Precipitation ,,Abweichung des Wertes von RCP 4.5,RCP 2.6.,RCP 8.5
Nitrogen fixation,nfix_b,Second term in N fixation eqn,einheitenlos?,"0,524","-0,754","0,524","Cleveland et. al, 1999,Global patterns of terrestrial biological nitrogen (Nz) fixation in natural ecosystems, ","Cleveland et. al, 1999,Global patterns of terrestrial biological nitrogen (Nz) fixation in natural ecosystems, ",run_nfix_b,,CO2,,Abweichung des Wertes von RCP 4.5,RCP 2.6,RCP 8.5
Nitrogen fixation,nrelocfrac,Fraction of N retranslocated prior to leaf and root shedding,einheitenlos,"0,5","0,1","0,8",,,run_nrelocfrac,,Nitrogen Deposition,,Abweichung des Wertes von RCP 4.5,RCP 2.6. ,RCP 6.0
Wachstum,turnover_root,Fine root turnover ,(fraction/year),"0,7","0,65","0,75",,,run_turnover_root,,,,,,
Störungen,distinterval,average return time for generic patch-destroying disturbances,years ,920,200,1000,,,run_distinterval,,,,,,
Wachstum,crownarea_max,maximum crown area,mm^2,40,20,60,,,run_crownarea_max,,,,,,
Wachstum,k_allom2,height =kallom2* diameter ^{kallom3},einheitenlos,60,30,80,,,run_kallom2,,,,,,
Wachstum,k_rp,crown area = kallom1*height^{k_rp},einheitenlos,"1,6","1,3","1,6",,,run_k_rp,,,,,,
Speciesspecific,,,,,,,,,,,,,,,
Pinus sylvestris,,,,,,,,,,,,,,,
Mortality,longetivity,Expected longevity under lifetime non-stressed conditions (yr),years,500,300,900,,,Pin_syl_longetivity ,,,,,,
Konkurrenz,leaflong,Leaf longevity ,years,4,2.5,7,,,Pin_syl_leaflong,,,,,,
Störung,fireresist,fire resistance,einheitenlos,"0,4","0,05","0,7",,,Pin_syl_fireresist,,,,,,
Water,gmin,minimum canopy conductance not assoc with photosynthesis,mm/s,"0,3","0,22","0,38",(Pappas et al),,Pin_syl_gmin,,,,,,
Konkurrenz,sla,Specific leaf area ,m^2/kgC,"8,56","7,812","9,3","Mencuccini, M., Bonosi, L., 2001. Leaf/sapwood area ratios in Scots pine show acclimation across Europe. Canadian Journal of Forest Research 31, 442-456.",(Pallandt-Vermeulen et al. 2015),Pin_syl_sla,,,,,,
Establishment,est_max,Max sapling establishment rate ,(indiv/m2/year),"0,2","0,1","0,25",,,shade_intolerant_est_max,,,,,,
Wachstum,turnover_sap,sapwood turnover rate,fraction/year,"0,085","0,05","0,1",,,Pin_syl_turnover_sap,,,,,,
Establishment,alphar,Shape parameter for recruitment-juv growth rate relationship,einheitenlos,10,4,15,,,shade_intolerant_alphar,,,,,,
Water,respocoeff,Respiration coefficient,einheitenlos,1,"0,8","2,2",,,boreal_tree_respcoeff,,,,,,
Photosynthesis,pstemp_low,Approx lower range of temp optimum for photosynthesis ,(deg C),10,7,15,(Renwick et al. 2019),(Pallandt-Vermeulen et al. 2015),boreal_tree_pstemp_low,,,,,,
Photosynthesis,pstemp_high,Approx higher range of temp optimum for photosynthesis (deg C),(deg C),25,15,30,(Zhang et al 2014),,boreal_tree_pstemp_high,,,,,,
Mortality,greff_min,Threshold for growth suppression mortality ,kgC/m2 leaf/yr,"0,21","0,07","0,26",,,Pin_syl_greff_min,,,,,,
Wachstum,k_latosa,Tree leaf to sapwood xs area ratio,einheitenlos,3000,1800,5200,,,Pin_syl_k_latosa,,,,,,
Störung ,cutinterval,Time until trees are cut,years,90,40,140,,,MixedC_cutinterval,,,,,,
Störung ,thinning_intensity,percentage of treshold crowncoverage that is kept after thinning,einheitenlos,"0,9","0,45",1,,,vali_stand_thinning_intensity,,,,,,
Water ,drought_tolerance ,"(0 = very -> 1 = not at all, Used to implement drought-limited establishment plus wauptake if wateruptake == SPECIESSPECIFIC)",einheitenlos,"0,25","0,1","0,4",,,Pin_syl_drought_tolerance,,,,,,
Wachstum,k_allom2,height =kallom2* diameter ^{kallom3},einheitenlos,30,15,60,,(Zhang et al 2014),Pin_syl_k_allom2,,,,,,
Establishment,parff_min,Min forest floor PAR for grass growth/tree estab ,J/m2/day,2500000,1500000,3500000,,,shade_intolerant_parff_min,,,,,,
Wachstum,k_chillb,Coefficient in equation for budburst chilling time requirement,einheitenlos,100,80,800,,,Pin_syl_k_chillb,,,,,,
Bioclimatic Limit ,gdd5min_est ,Min GDD on 5 deg C base for establishment,(deg C) Days,500,250,700,,,Pin_syl_gdd5min_est,,,,,,
Bioclimatic Limit ,tcmin_est,Min 20-year coldest month mean temp for establishment ,(deg C),-29,-100,-15,,,Pin_syl_tcmin_est,,,,,,
Bioclimatic Limit ,tcmax_est,Max 20-year coldest month mean temp for establishment,(deg C),5.5,-1.0 ,6,(Schilbaslki et al 2017),,Pin_syl_tcmax_est,,,,,,
Picea abies,,,,,,,,,,,,,,,
Mortality,longetivity,Expected longevity under lifetime non-stressed conditions (yr),years,300,200,1000,,,Pic_abi_longetivity,,,,,,
Konkurrenz,leaflong,Leaf longevity ,years,7,4,10,,,Pic_abi_leaflong,,,,,,
Störung,fireresist,fire resistance,einheitenlos,"0,1","0,05","0,8",,,Pic_abi_fireresist,,,,,,
Water,gmin,minimum canopy conductance not assoc with photosynthesis,mm/s,"0,3","0,22","0,38",,,Pic_abi_gmin,,,,,,
Konkurrenz,sla,Specific leaf area ,m^2/kgC,"11,52","8,7","15,1","Xiao, C.-W., Janssens, I. A., Yuste, J. C., Ceulemans, R., 2006. Variation of specific leaf area and upscaling to leaf area index in mature Scots pine. Trees 20, 304-310.","Kayama, M., Kitaoka, S., Wang, W., Choi, D., Koike, T., 2007. Needle longevity, photosynthetic rate and nitrogen concentration of eight spruce taxa planted in northern Japan. Tree Physiology 27, 1585-1593.",Pic_abi_sla,,,,,,
Establishment,est_max,Max sapling establishment rate ,(indiv/m2/year),"0,1","0,05","0,2",,,shade_tolerant_est_max,,,,,,
Wachstum,turnover_sap,sapwood turnover rate,fraction/year,"0,065","0,04","0,09",,,Pic_abi_turnover_sap,,,,,,
Establishment,alphar,Shape parameter for recruitment-juv growth rate relationship,einheitenlos,"4,0",2,5,,,Pic_abi_alphar,,,,,,
Water,respcoeff,Respiration coefficient,einheitenlos,"1,0","0,8","2,2",,,boreal_tree_respcoeff,,,,,,
Photosynthesis,pstemp_low,Approx lower range of temp optimum for photosynthesis ,(deg C),10,6.5,13,,,boreal_tree_pstem_low,,,,,,
Photosynthesis,pstemp_high,Approx higher range of temp optimum for photosynthesis (deg C),(deg C),25,17,30,,,boreal_tree_pstem_high,,,,,,
Mortality,greff_min,Threshold for growth suppression mortality ,kgC/m2 leaf/yr,"0,135","0,03","0,19",,,Pic_abi_greff_min,,,,,,
Wachstum,k_latosa,Tree leaf to sapwood xs area ratio,einheitenlos,4000,2500,7000,,,needle_leaved_k_latosa,,,,,,
Störung ,cutinterval,Time until trees are cut,years,90,60,120,,,MixedC_cutinterval,,,,,,
Störung ,thinning_intensity,percentage of treshold crowncoverage that is kept after thinning,einheitenlos,"0,9","0,5",1,,,vali_stand_thinning_intensity,,,,,,
Water ,drought_tolerance ,"(0 = very -> 1 = not at all, Used to implement drought-limited establishment plus wauptake if wateruptake == SPECIESSPECIFIC)",einheitenlos,"0,48","0,2","0,65",,,Pic_abi_drought_tolerance,,,,,,
Wachstum,k_allom2,height =kallom2* diameter ^{kallom3},einheitenlos,siehe allgemein,,,,,,,,,,,
Establishment,parff_min,Min forest floor PAR for grass growth/tree estab ,J/m2/day,1000000,750000,1600000,,,shade_tolerant_parff_min,,,,,,
Wachstum,k_chillb,Coefficient in equation for budburst chilling time requirement,einheitenlos,100,80,800,,,Pic_abi_k_chillb,,,,,,
Bioclimatic Limit ,gdd5min_est ,Min GDD on 5 deg C base for establishment,(deg C) Days,350,300,700,,,Pic_abi_gdd5min_est,,,,,,
Bioclimatic Limit ,tcmin_est,Min 20-year coldest month mean temp for establishment ,(deg C),-29,-100,-15,,,Pic_abi_tcmin_est,,,,,,
Bioclimatic Limit ,tcmax_est,Max 20-year coldest month mean temp for establishment,(deg C),3,-2,6,,,Pic_abi_tcmax_est,,,,,,
Fagus sylvatica ,,,,,,,,,,,,,,,
Mortality,longetivity,Expected longevity under lifetime non-stressed conditions (yr),years,400,250,650,,,Fag_syl_longetivity ,,,,,,
Konkurrenz,leaflong,Leaf longevity ,years,"0,5","0,4","0,8",,,broad_leaved_leaflong,,,,,,
Störung,fireresist,fire resistance,einheitenlos,"0,1","0,05","0,8",,,Fag_syl_fireresist,,,,,,
Water,gmin,minimum canopy conductance not assoc with photosynthesis,mm/s,"0,5","0,42","0,58",,,Fag_syl_gmin,,,,,,
Konkurrenz,sla,Specific leaf area ,m^2/kgC,"43,08","28,33","48,23","Legner, N., Fleck, S., Leuschner, C., 2014. Within-canopy variation in photosynthetic capacity, SLA and foliar N in temperate broad-leaved trees with contrasting shade tolerance. 28, 263-280.","Leuschner, C., Voß, S., Foetzki, A., Clases, Y., 2006. Variation in leaf area index and stand leaf mass of European beech across gradients of soil acidity and precipitation. Plant Ecology 186, 247-258.",Fag_syl_sla,,,,,,
Establishment,est_max,Max sapling establishment rate ,(indiv/m2/year),"0,2","0,05","0,25",,,Fag_syl_est_max,,,,,,
Wachstum,turnover_sap,sapwood turnover rate,fraction/year,"0,085","0,05","0,1",,,Fag_syl_turnover_sap,,,,,,
Establishment,alphar,Shape parameter for recruitment-juv growth rate relationship,einheitenlos,"2,0","0,8",5,,,shade_tolerant_alphar,,,,,,
Water,respcoeff,Respiration coefficient,einheitenlos,"1,0","0,5","1,5",,,temperate_tree_respcoeff,,,,,,
Photosynthesis,pstemp_low,Approx lower range of temp optimum for photosynthesis ,(deg C),15,8,20,,,temperate_tree_pstemp_low,,,,,,
Photosynthesis,pstemp_high,Approx higher range of temp optimum for photosynthesis (deg C),(deg C),25,20,30,,,temperate_tree_pstemp_high,,,,,,
Mortality,greff_min,Threshold for growth suppression mortality ,kgC/m2 leaf/yr,"0,02","0,001","0,13",,(Pappas),Fag_syl_greff_min,,,,,,
Wachstum,k_latosa,Tree leaf to sapwood xs area ratio,einheitenlos,5000,2500,8000,,,broad_leaved_k_latosa,,,,,,
Störung ,cutinterval,Time until trees are cut,years,105,80,140,,,MixedC_cutinterval,,,,,,
Störung ,thinning_intensity,percentage of treshold crowncoverage that is kept after thinning,einheitenlos,"0,9","0,55",1,,,vali_stand_thinning_intensity,,,,,,
Water ,drought_tolerance ,"(0 = very -> 1 = not at all, Used to implement drought-limited establishment plus wauptake if wateruptake == SPECIESSPECIFIC)",einheitenlos,"0,39","0,2","0,49",,,Fag_syl_drought_tolerance,,,,,,
Wachstum,k_allom2,height =kallom2* diameter ^{kallom3},einheitenlos,siehe allgemein,,,,,,,,,,,
Establishment,parff_min,Min forest floor PAR for grass growth/tree estab ,J/m2/day,1000000,100000,1600000,,,shade_tolerant_parff_min,,,,,,
Wachstum,k_chillb,Coefficient in equation for budburst chilling time requirement,einheitenlos,600,250,800,,,Fag_syl_k_chillb,,,,,,
Bioclimatic Limit ,gdd5min_est ,Min GDD on 5 deg C base for establishment,(deg C) Days,1300,1050,1450,,,Fag_syl_gdd5min_est,,,,,,
Bioclimatic Limit ,tcmin_est,Min 20-year coldest month mean temp for establishment ,(deg C),-6.5 ,-8,-5,,,Fag_syl_tcmin_est,,,,,,
Bioclimatic Limit ,tcmax_est,Max 20-year coldest month mean temp for establishment,(deg C),7,5,8,,,Fag_syl_tcmax_est,,,,,,